insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1001', 'P1001', 'Veggie Tacos with Mango Salsa', 'and ranch dressing.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1002', 'P1002', 'Spaghetti Carbonara', 'Tender slices of gyro meat served in warm pita bread with tzatziki sauce.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1003', 'P1003', 'Veggie Burrito Bowl', 'olives', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1004', 'P1004', 'Margherita Pizza with Sun-Dried Tomatoes', 'beans', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1005', 'P1005', 'Black Bean Enchiladas with Rice', 'onions', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1006', 'P1006', 'Shrimp Scampi Pasta', 'crisp romaine lettuce', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1007', 'P1007', 'Ratatouille with Herbed Couscous', 'olives', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1008', 'P1008', 'Margherita Pasta Bake', 'Grilled salmon served with tender asparagus spears.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1009', 'P1009', 'Tofu Stir-Fry with Ginger Sauce', 'and basil.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1010', 'P1010', 'Caprese Salad with Balsamic Glaze', 'Jumbo pasta shells filled with a creamy spinach and ricotta mixture.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1011', 'P1001', 'Black Bean Enchiladas with Rice', 'and Caesar dressing.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1012', 'P1002', 'Quinoa Stuffed Bell Peppers', 'served over egg noodles.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1013', 'P1003', 'Caprese Quinoa Salad', 'and mashed potatoes.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1014', 'P1004', 'Black Bean Enchiladas with Rice', 'A vegetarian version of the classic Thai noodle dish.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1015', 'P1005', 'Caprese Salad with Balsamic Glaze', 'A refreshing salad made with lentils', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1016', 'P1006', 'Beef Stir-Fry with Vegetables', 'vegetables', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1017', 'P1007', 'Roasted Vegetable Panini with Pesto', 'Hearty portobello mushroom burgers served with all the fixings.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1018', 'P1008', 'Pesto Pasta with Cherry Tomatoes', 'and feta cheese.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1019', 'P1009', 'Spinach and Mushroom Quesadillas', 'tomatoes', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1020', 'P1010', 'Margherita Pasta Bake', 'served over rice.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1021', 'P1001', 'Chicken Shawarma with Tzatziki', 'A refreshing salad made with lentils', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1022', 'P1002', 'Beef Chili with Cornbread', 'Crispy falafel wrapped in warm pita bread and drizzled with tahini sauce.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1023', 'P1003', 'Veggie Burrito Bowl', 'vegetables', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1024', 'P1004', 'Quinoa Stuffed Bell Peppers', 'A spicy curry made with lentils', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1025', 'P1005', 'BBQ Chicken Pizza with Caramelized Onions', 'A refreshing salad made with orzo pasta', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1026', 'P1006', 'Lentil and Vegetable Curry', 'A refreshing salad made with chickpeas', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1027', 'P1007', 'Chicken Alfredo with Garlic Bread', 'vegetables', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1028', 'P1008', 'Beef Stroganoff with Egg Noodles', 'and aromatic Indian spices.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1029', 'P1009', 'Tofu Pad Thai', 'and fresh basil.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1030', 'P1010', 'Spinach and Feta Stuffed Chicken Breast', 'vegetables', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1031', 'P1001', 'Pesto Pasta with Cherry Tomatoes', 'and salsa.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1032', 'P1002', 'BBQ Pulled Pork Sandwiches', 'and basil', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1033', 'P1003', 'Butternut Squash Ravioli with Sage Butter Sauce', 'Parmesan cheese', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1034', 'P1004', 'Falafel Wrap with Tahini Sauce', 'Savory chicken curry made with Thai spices and coconut milk', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1035', 'P1005', 'Mediterranean Couscous Salad', 'mozzarella', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1036', 'P1006', 'Teriyaki Salmon with Steamed Broccoli', 'Crispy falafel wrapped in warm pita bread and drizzled with tahini sauce.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1037', 'P1007', 'Lentil and Vegetable Curry', 'Thin-crust pizza topped with fresh tomatoes', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1038', 'P1008', 'Tofu Pad Thai', 'A classic wrap filled with grilled chicken', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1039', 'P1009', 'Roast Beef Sandwich with Horseradish Sauce', 'topped with avocado.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1040', 'P1010', 'Margherita Flatbread with Pesto Drizzle', 'and melted cheese', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1041', 'P1001', 'Chicken Parmesan with Garlic Bread', 'and fresh basil.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1042', 'P1002', 'Teriyaki Veggie Bowl with Quinoa', 'cheese', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1043', 'P1003', 'Spinach and Artichoke Stuffed Portobello Mushrooms', 'and a rich Alfredo sauce.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1044', 'P1004', 'Chicken Marsala with Mashed Potatoes', 'drizzled with pesto sauce.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1045', 'P1005', 'Lentil and Vegetable Curry', 'Slow-cooked pulled pork sandwiches smothered in BBQ sauce.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1046', 'P1006', 'Spaghetti Aglio e Olio', 'A comforting shepherd''s pie made with lentils', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1047', 'P1007', 'Teriyaki Salmon with Steamed Broccoli', 'and salsa.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1048', 'P1008', 'Spaghetti Bolognese', 'A spicy curry made with lentils', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1049', 'P1009', 'Spaghetti Aglio e Olio', 'served with cornbread.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1050', 'P1010', 'Caesar Salad with Grilled Shrimp', 'mozzarella', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1051', 'P1001', 'Chicken Marsala with Mashed Potatoes', 'Portobello mushrooms stuffed with a savory mixture of spinach', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1052', 'P1002', 'Spinach and Artichoke Stuffed Portobello Mushrooms', 'Hearty chili made with three types of beans', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1053', 'P1003', 'Caprese Salad with Balsamic Glaze', 'served over egg noodles.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1054', 'P1004', 'BBQ Chicken Pizza with Caramelized Onions', 'Hearty portobello mushroom burgers served with all the fixings.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1055', 'P1005', 'Falafel Wrap with Tahini Sauce', 'A comforting shepherd''s pie made with lentils', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1056', 'P1006', 'Spaghetti Aglio e Olio', 'cucumbers', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1057', 'P1007', 'Greek Orzo Salad with Lemon Dressing', 'and feta cheese.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1058', 'P1008', 'Greek Salad with Feta Cheese', 'tomatoes', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1059', 'P1009', 'Caprese Panini with Tomato and Mozzarella', 'and cheese.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1060', 'P1010', 'Spinach and Artichoke Stuffed Portobello Mushrooms', 'mozzarella', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1061', 'P1001', 'Portobello Mushroom Burgers', 'cheese', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1062', 'P1002', 'Beef Tacos with Guacamole', 'and basil.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1063', 'P1003', 'Beef Stir-Fry with Vegetables', 'vegetables', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1064', 'P1004', 'Lentil Shepherd''s Pie', 'Thin-crust pizza topped with BBQ chicken', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1065', 'P1005', 'Caprese Panini with Tomato and Mozzarella', 'Creamy risotto made with mushrooms and Parmesan cheese.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1066', 'P1006', 'Caesar Salad with Grilled Shrimp', 'A classic wrap filled with grilled chicken', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1067', 'P1007', 'Grilled Chicken Caesar Salad', 'A vegetarian version of the classic Thai noodle dish.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1068', 'P1008', 'Veggie Burger with Sweet Potato Fries', 'served with jasmine rice.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1069', 'P1009', 'Thai Green Curry with Tofu', 'A classic wrap filled with grilled chicken', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1070', 'P1010', 'Lentil Shepherd''s Pie', 'cucumbers', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1071', 'P1001', 'Spaghetti Aglio e Olio', 'A flavorful wrap filled with assorted vegetables and creamy hummus.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1072', 'P1002', 'Margherita Pasta Bake', 'cucumbers', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1073', 'P1003', 'Caprese Panini with Tomato and Mozzarella', 'A spicy curry made with lentils', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1074', 'P1004', 'Chicken Piccata with Angel Hair Pasta', 'Classic chicken Parmesan served with garlic bread.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1075', 'P1005', 'Quinoa Stuffed Bell Peppers', 'and mozzarella cheese.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1076', 'P1006', 'Vegetarian Pad Thai', 'baked until bubbly and golden.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1077', 'P1007', 'Quinoa Stuffed Bell Peppers', 'Grilled panini filled with ripe tomatoes', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1078', 'P1008', 'Chicken Teriyaki Stir-Fry', 'served with cornbread.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1079', 'P1009', 'Tofu Pad Thai', 'and aromatic Indian spices.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1080', 'P1010', 'BBQ Pulled Pork Sandwiches', 'A classic wrap filled with grilled chicken', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1081', 'P1001', 'Teriyaki Tofu with Brown Rice', 'caramelized onions', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1082', 'P1002', 'Vegetarian Quinoa Salad', 'Crisp romaine lettuce topped with grilled salmon', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1083', 'P1003', 'Margherita Pasta Bake', 'and feta cheese.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1084', 'P1004', 'Lemon Garlic Roast Chicken', 'Creamy risotto flavored with earthy mushrooms.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1085', 'P1005', 'Mediterranean Stuffed Peppers', 'Savory chicken curry made with Thai spices and coconut milk', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1086', 'P1006', 'Thai Red Curry with Chicken', 'Hearty burritos filled with seasoned beef', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1087', 'P1007', 'Caesar Salad with Grilled Shrimp', 'Savory beef and broccoli stir-fry with a savory sauce.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1088', 'P1008', 'Chicken Piccata with Angel Hair Pasta', 'Creamy risotto made with mushrooms and Parmesan cheese.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1089', 'P1009', 'Lentil Salad with Lemon Vinaigrette', 'Crisp romaine lettuce topped with grilled chicken', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1090', 'P1010', 'Three Bean Chili with Cornbread Muffins', 'Creamy risotto made with mushrooms and Parmesan cheese.', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1091', 'P1001', 'Grilled Salmon with Asparagus', 'Savory beef stir-fry with assorted vegetables.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1092', 'P1002', 'Spinach and Feta Stuffed Chicken Breast', 'vegetables', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1093', 'P1003', 'Baked Ziti with Marinara Sauce', 'Thin-crust pizza topped with fresh tomatoes', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1094', 'P1004', 'Lentil Salad with Lemon Vinaigrette', 'A refreshing salad made with crisp romaine lettuce', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1095', 'P1005', 'Lentil Shepherd''s Pie', 'mozzarella', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1096', 'P1006', 'Greek Salad with Feta Cheese', 'Savory chicken curry made with Thai spices and coconut milk', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1097', 'P1007', 'Lentil Salad with Lemon Vinaigrette', 'and a tangy vinaigrette.', 'Non-Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1098', 'P1008', 'Veggie Burrito Bowl', 'caramelized onions', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1099', 'P1009', 'Greek Salad with Feta Cheese', 'cheese', 'Vegetarian');
insert into meal (meal_id, passenger_id, meal_name, description, meal_type) values ('M1100', 'P1010', 'Spinach and Feta Stuffed Chicken Breast', 'served with steamed broccoli.', 'Non-Vegetarian');
